"2024-08-25 02:15:23,257",0.264,0.028
"2024-08-25 02:46:10,139",0.264,0.022
"2024-08-25 03:16:56,791",0.264,0.015
"2024-08-25 03:47:43,462",0.264,0.009
"2024-08-25 04:18:29,992",0.220,0.046
"2024-08-25 04:49:16,304",0.264,0.038
"2024-08-25 05:20:02,377",0.308,0.031
"2024-08-25 05:50:48,667",0.264,0.024
"2024-08-25 06:21:34,281",0.352,-0.028
"2024-08-25 06:52:20,487",0.220,0.008
"2024-08-25 07:23:06,733",0.220,0.044
"2024-08-25 07:53:53,052",0.264,0.036
"2024-08-25 08:24:39,521",0.264,0.028
"2024-08-25 08:55:25,730",0.308,-0.024
"2024-08-25 09:26:12,459",0.264,0.011
"2024-08-25 09:56:58,929",0.220,0.046
"2024-08-25 10:27:45,378",0.264,0.038
"2024-08-25 10:58:32,184",0.308,0.029
"2024-08-25 11:29:18,645",0.308,0.020
"2024-08-25 12:00:05,544",0.308,0.010
"2024-08-25 12:30:52,118",0.264,0.045
"2024-08-25 13:01:38,883",0.308,0.035
"2024-08-25 13:32:25,465",0.264,0.026
"2024-08-25 14:03:12,746",0.264,0.016
"2024-08-25 14:33:59,543",0.264,0.006
"2024-08-25 15:04:46,605",0.264,0.040
"2024-08-25 15:35:33,859",0.264,0.030
"2024-08-25 16:06:20,709",0.308,0.019
"2024-08-25 16:37:07,909",0.308,0.009
"2024-08-25 17:07:59,324",0.264,-0.001
"2024-08-25 17:38:46,413",0.264,0.032
"2024-08-25 18:09:33,725",0.352,-0.023
"2024-08-25 18:40:20,863",0.264,0.010
"2024-08-25 19:11:08,100",0.220,0.043
"2024-08-25 19:41:55,238",0.264,0.032
"2024-08-25 20:12:42,304",0.264,0.020
"2024-08-25 20:43:29,677",0.308,0.008
"2024-08-25 21:14:16,866",0.264,-0.004
"2024-08-25 21:45:04,265",0.264,0.028
"2024-08-25 22:15:51,206",0.264,0.016
"2024-08-25 22:46:40,186",0.220,0.048
"2024-08-25 23:17:32,832",0.264,0.036
"2024-08-25 23:48:21,255",0.308,0.024
"2024-08-26 00:19:08,704",0.264,0.011
"2024-08-26 00:49:54,765",0.264,-0.002
"2024-08-26 01:20:41,069",0.220,0.029
"2024-08-26 01:51:27,461",0.264,0.016
"2024-08-26 02:22:14,276",0.264,0.046
"2024-08-26 02:53:00,778",0.264,0.033
"2024-08-26 03:23:47,569",0.308,0.019
"2024-08-26 03:54:34,292",0.264,0.005
